-15231,2365
9048,-14164
-16292,-30556
-19910,28102
10567,26692
1086,-8621
13679,-7604
-28442,-31725
16185,26811
-31565,-11021
2083,20472
1366,18927
709,-11663
-4207,-25271
2747,-29057
19198,-26159
7385,29176
-19851,2010
-620,21792
22404,-24193
7429,-24158
-28030,-9481
23124,-28530
-28716,9543
24252,-14973
-7411,-25834
26392,11206
-9689,-18177
23027,-32653
6135,4963
-22340,27456
-28909,31558
-16851,-18512
-22127,-617
-21860,10958
273,23431
15180,-28568
-22630,11858
18472,29527
8278,-37
27324,-23200
20498,-22532
-20212,-28077
-18540,19944
26496,27193
-18437,14387
-7186,3318
-29287,13682
-17167,-16484
-215,-27480
16332,-31045
4963,-5836
-6889,10583
-9802,17595
-15790,-2879
-14755,-4905
-2015,-1237
18053,-30326
1503,1900
8548,-8248
26828,30035
15456,9647
-20302,-18232
-28527,-29579
-14474,23316
14568,-22350
-2237,-12470
29991,-21008
-28976,32562
-7861,29106
-14283,3682
30794,-8433
21940,26264
11031,-28173
-31940,13371
25419,2745
-4251,-12289
15529,10303
-28416,-10002
12488,-1918
19951,9707
673,-12301
5124,-29554
102,7945
-23591,-31270
25986,1622
-21640,25463
22421,4488
-9163,9051
-17759,-15304
15159,11536
3341,7842
-17818,-25700
-23509,5322
8568,12722
-17536,26121
-16394,-19026
21783,-30747
-17436,-4503
-27192,31197
32081,16910
5936,9670
24220,3074
-31761,12732
-13519,18072
17222,13854
24583,-8684
16199,-25401
-17009,27604
26221,-16113
-21901,-5194
-10417,-9934
-985,721
3779,-17364
-7173,-23446
24129,15523
10906,-25739
-32405,6078
-7092,21437
18470,15437
-27209,30471
-15856,13370
-10005,7152
-28002,17387
4372,-29827
-6777,-26606
-23478,-7269
-14736,-1531
15824,-3457
7604,-24796
23307,9151
-16468,9578
23204,-14533
9659,-26847
22991,13585
-8672,-31253
-14698,-18363
-24467,-21676
11636,2128
-8846,4533
27156,22383
31163,22336
-630,-1066
-22705,-10249
-2575,-22789
-27563,17330
-19226,27719
23816,15977
20616,-1896
-974,-24564
-26258,-26219
21421,25303
-26606,31871
13188,-10414
30012,18793
29717,-11033
16733,9748
18312,18903
-17948,11361
-30277,-25282
22203,-17143
-15844,11026
10786,11206
-6902,23437
25617,-10888
-15908,28740
-10293,23275
22795,24228
31999,-26197
17581,-20192
22899,22340
29872,-12285
7015,-19295
13263,4289
18566,15118
2837,-25170
3436,-10592
-15160,-31850
23039,16924
199,-27671
23935,-32511
-26195,-32767
-2559,-2909
14781,-19657
-22750,-8341
7888,21454
-28770,20280
-16369,12602
-24625,13775
-15747,-21111
-6973,-15692
13563,-19477
-13948,-17894
13768,30838
27978,-25283
-31003,-5836
-24605,9310
6396,32706
13247,18669
-25237,10825
-16947,9467
-27191,-11961
17623,3679
-8479,-32104
-1477,2977
26901,17486
-8469,7593
25637,-10215
-28229,-18258
24379,-18315
-29372,-24218
-8868,-67
-32438,8305
24362,16512
26307,-13764
771,27747
794,29629
-7956,31781
75,-25753
19855,-2702
-15326,6621
-24941,15564
21779,-3563
-17707,-16092
6490,-12863
30073,31375
-11616,7455
31301,-20129
-4422,-20085
-19456,-19487
20494,-24324
3991,-7225
6249,13085
12854,13014
